Participant,Corpus,Condition,Trail,Target_Sentence,ASR_Sentence
Participant1,Corpus3,D1,6,"""Hey Google, did the Liverpool win yesterday?""",hey Google
Participant1,Corpus3,D1,7,"""Hey Google, when is it going to rain?""",hey Google are you really going to red
Participant1,Corpus3,D1,8,"""Hey Google, sing a song.""",hey Google sing a song
Participant1,Corpus3,D1,9,"""Hey Google, are there any Italian restaurants around here?""",Hey Google are there any Italian restaurants around here
Participant1,Corpus3,D1,10,"""Hey Google, start the school day""",ok Google
Participant1,Corpus3,D1,11,"""Hey Google, hang up.""",hey Google
Participant1,Corpus3,D1,12,"""Hey Google, help.""",hey Google help
Participant1,Corpus3,D1,13,"""Hey Google, broadcast 'wake everybody up'.""",OK Google
Participant1,Corpus3,D1,14,"""Hey Google, How do you solve this problem?""",OK Google how do you solve this problem
Participant1,Corpus3,D1,15,"""Hey Google, raise the temperature three degrees.""",hey Google set the temperature to decrease
Participant1,Corpus3,D1,16,"""Hey Google, stop the music.""",hey Google stop the music
Participant1,Corpus3,D1,17,"""Hey Google, read a bedtime story.""",hey Google read a bedtime story
Participant1,Corpus3,D1,18,"""Hey Google, add apples to my shopping list.""",hey Google add apples to my shopping list
Participant1,Corpus3,D1,19,"""Hey Google, what does an elephant sound like?""",hey Google what does an elephant sound like
Participant1,Corpus3,D1,20,"""Hey Google, broadcast 'the football is about to start.""",hey Google what's the football start
Participant1,Corpus4,C1,1,"""Hey Google, stop the music.""",hey Google stop the music
Participant1,Corpus4,C1,2,"""Hey Google, how many calories are in a Banana?""",hey Google how many calories are in a banana
Participant1,Corpus4,C1,3,"""Hey Google, play some music.""",hey Google play some music
Participant1,Corpus4,C1,4,"""Hey Google, flip a coin.""",hey Google flip a coin
Participant1,Corpus4,C1,5,"""Hey Google, what are my reminders for this week?""",hey Google what are my reminders for this week
Participant1,Corpus4,C1,6,"""Hey Google, what's the temperature right now?""",hey Google what's the temperature right now
Participant1,Corpus4,C1,7,"""Hey Google, show me the backdoor camera.""",hey Google show me the backyard camera
Participant1,Corpus4,C1,8,"""Hey Google, set alarm for 8 AM tomorrow.""",hey Google set alarm for 8 a.m. tomorrow
Participant1,Corpus4,C1,9,"""Hey Google, when is it going to rain?""",hey Google paste red
Participant1,Corpus4,C1,10,"""Hey Google, turn the living room lights to blue""",hey Google turn the living room lights to Blue
Participant1,Corpus4,C1,11,"""Hey Google, snooze the alarm.""",hey Google snooze the alarm
Participant1,Corpus4,C1,12,"""Hey Google, broadcast 'time to leave for school'.""",hey Google what's add time to leave for school
Participant1,Corpus4,C1,13,"""Hey Google, stop.""",hey Google stop
Participant1,Corpus4,C1,14,"""Hey Google, remind me at 8am tomorrow to take my lunch in to work.""",hey Google remind me at 8 a.m. tomorrow to take my lunch into work
Participant1,Corpus4,C1,15,"""Hey Google, play some music from Spotify.""",hey Google play some music from Spotify
Participant1,Corpus4,C1,16,"""Hey Google, add apples to my shopping list.""",hey Google add apples to my shopping list
Participant1,Corpus4,C1,17,"""Hey Google, read Women and Power.""",hey Google read row man and Power
Participant1,Corpus4,C1,18,"""Hey Google, when is Walmart open until?""",hey Google when is Walmart open until
Participant1,Corpus4,C1,19,"""Hey Google, turn up the sound.""",hey Google turn off the song
Participant1,Corpus4,C1,20,"""Hey Google, cancel the alarm for 7.15 (Seven-Point-fifth-teen).""",Hey Google cancel the alarm for 3 and 5:15
Participant1,Corpus5,A2,1,"""Hey Google, set an alarm for 7.15am (seven-point-fifth-teen-A.M.) tomorrow morning.""",hey Google set an alarm for seven 5:15 tomorrow morning
Participant1,Corpus5,A2,2,"""Hey Google, broadcast 'the football is about to start.""",hey Google broadcast the football is about to start
Participant1,Corpus5,A2,3,"""Hey Google, flip a coin.""",hey Google flip a coin
Participant1,Corpus5,A2,4,"""Hey Google, spell artificial intelligence.""",hey Google spell artificial intelligence
Participant1,Corpus5,A2,5,"""Hey Google, how do you make ketchup?""",hey Google how do you make ketchup
Participant1,Corpus5,A2,6,"""Hey Google, play some music from Spotify.""",hey Google play some music on Spotify
Participant1,Corpus5,A2,7,"""Hey Google, what are my reminders for this week?""",hey Google what are my reminders for this week
Participant1,Corpus5,A2,8,"""Hey Google, stop the music in 15 (fifth-teen) minutes.""",hey Google stop the music in 15 minutes
Participant1,Corpus5,A2,9,"""Hey Google, brighten the office lamp.""",hey Google brighten the office.
Participant1,Corpus5,A2,10,"""Hey Google, what does an elephant sound like?""",Hey Google what does a dolphin sound like
Participant1,Corpus5,A2,11,"""Hey Google, lock the front door.""",hey Google
Participant1,Corpus5,A2,12,"""Hey Google, read Women and Power.""",hey Google red women and Power
Participant1,Corpus5,A2,13,"""Hey Google, turn the living room lights to blue""",hey Google turn the living light room light to Blue
Participant1,Corpus5,A2,14,"""Hey Google, call my phone.""",hey Google call my phone
Participant1,Corpus5,A2,15,"""Hey Google, set the thermostat to 20 (Twenty) degrees.""",hey Google set a timer WhatsApp to 20 between
Participant1,Corpus5,A2,16,"""Hey Google, play my Evening Jazz playlist.""",hey Google hey my everything. Cell is
Participant1,Corpus5,A2,17,"""Hey Google, did the Liverpool win yesterday?""",hey Google
Participant1,Corpus5,A2,18,"""Hey Google, sing a song.""",hey Google sing a song
Participant1,Corpus5,A2,19,"""Hey Google, call the nearest coffee shop.""",Hey Google call the nearest coffee shop
Participant1,Corpus5,A2,20,"""Hey Google, pause the music.""",hey Google what's the music
Participant1,Corpus6,B2,1,"""Hey Google, open the blinds.""",hey Google
Participant1,Corpus6,B2,2,"""Hey Google, play some music from Spotify.""",hey Google play some music from Spotify
Participant1,Corpus6,B2,3,"""Hey Google, add apples to my shopping list.""",hey Google
Participant1,Corpus6,B2,4,"""Hey Google, what does my day look like?""",hey Google what's my day look like
Participant1,Corpus6,B2,5,"""Hey Google, cancel the alarm for 7.15 (Seven-Point-fifth-teen).""","hey Google, set the alarm for 12:15"
Participant1,Corpus6,B2,6,"""Hey Google, where is my first event tomorrow?""",hey Google last night football tomorrow
Participant1,Corpus6,B2,7,"""Hey Google, play Money by LISA from Spotify.""",hey Google Play money by this on Spotify
Participant1,Corpus6,B2,8,"""Hey Google, set a timer for 10 (Ten) minutes.""",hey Google set a timer for 10 minutes
Participant1,Corpus6,B2,9,"""Hey Google, call the nearest coffee shop.""",hey Google how did the nearest puppy shop
Participant1,Corpus6,B2,10,"""Hey Google, set an alarm for 7.15am (seven-point-fifth-teen-A.M.) tomorrow morning.""",hey Google set an alarm for 12:15 a.m. tomorrow morning
Participant1,Corpus6,B2,11,"""Hey Google, set alarm for 8 AM tomorrow.""",hey Google set alarm for 8 a.m. tomorrow
Participant1,Corpus6,B2,12,"""Hey Google, stop the music.""",hey Google stop the music
Participant1,Corpus6,B2,13,"""Hey Google, what are my reminders for this week?""",hey Google what are my reminders for this week
Participant1,Corpus6,B2,14,"""Hey Google, snooze the alarm.""",hey Google
Participant1,Corpus6,B2,15,"""Hey Google, what is the time?""",hey Google what is the time
Participant1,Corpus6,B2,16,"""Hey Google, pause the music.""",hey Google how's the music
Participant1,Corpus6,B2,17,"""Hey Google, call My mom.""",hey Google call my mom
Participant1,Corpus6,B2,18,"""Hey Google, what is the traffic like on the way to work?""",hey Google what is the traffic like on the way to work
Participant1,Corpus6,B2,19,"""Hey Google, play my Evening Jazz playlist.""",-
Participant1,Corpus6,B2,20,"""Hey Google, is my phone connected over Bluetooth?""",-
Participant1,Corpus7,D2,1,"""Hey Google, play some hip hop.""",hey Google play some hip hop
Participant1,Corpus7,D2,2,"""Hey Google, skip this track.""",OK Google
Participant1,Corpus7,D2,3,"""Hey Google, turn on the Bedroom Light.""",hey Google turn on the bedroom light
Participant1,Corpus7,D2,4,"""Hey Google, read Women and Power.""",hey Google red women and Power
Participant1,Corpus7,D2,5,"""Hey Google, call the nearest coffee shop.""",hey Google call the nearest coffee shop
Participant1,Corpus7,D2,6,"""Hey Google, How do you solve this problem?""",hey Google how do you spell fifth
Participant1,Corpus7,D2,7,"""Hey Google, how much time is left on this chapter?""",hey Google how much time left on this chapter
Participant1,Corpus7,D2,8,"""Hey Google, Bluetooth pairing.""",hey Google Bluetooth pairing
Participant1,Corpus7,D2,9,"""Hey Google, flip a coin.""",hey Google flip a coin
Participant1,Corpus7,D2,10,"""Hey Google, set a second timer for 30 (Thir-ty) minutes.""",hey Google header 15 lb by 30 minutes
Participant1,Corpus7,D2,11,"""Hey Google, set the thermostat to 20 (Twenty) degrees.""",hey Google
Participant1,Corpus7,D2,12,"""Hey Google, what is the time?""",hey Google what is the time
Participant1,Corpus7,D2,13,"""Hey Google, remember that I left the spare keys in the kitchen cupboard.""",hey Google remember that I left the factory
Participant1,Corpus7,D2,14,"""Hey Google, when is Walmart open until?""",hey Google take me to Walmart
Participant1,Corpus7,D2,15,"""Hey Google, brighten the office lamp.""",hey Google
Participant1,Corpus7,D2,16,"""Hey Google, hang up.""",hey Google
Participant1,Corpus7,D2,17,"""Hey Google, delete my reminder to pick up my dry cleaning.""",hey Google delete my reminder to pick up my dry cleaning
Participant1,Corpus7,D2,18,"""Hey Google, call my phone.""",hey Google call my phone
Participant1,Corpus7,D2,19,"""Hey Google, broadcast 'dinner is ready'.""",hey Google broadcast
Participant1,Corpus7,D2,20,"""Hey Google, add apples to my shopping list.""",hey Google add apples to my shopping list
Participant1,Corpus8,C2,1,"""Hey Google, help me relax.""",hey Google tell me a light
Participant1,Corpus8,C2,2,"""Hey Google, sing a song.""",hey Google sing a song
Participant1,Corpus8,C2,3,"""Hey Google, read a bedtime story.""",Hey Google read a bedtime story
Participant1,Corpus8,C2,4,"""Hey Google, raise the temperature three degrees.""",hey Google set the temperature to decrease
Participant1,Corpus8,C2,5,"""Hey Google, set an alarm for 7.15am (seven-point-fifth-teen-A.M.) tomorrow morning.""",hey Google set an alarm for 3:15 a.m. tomorrow morning
Participant1,Corpus8,C2,6,"""Hey Google, do I have any alarms set?""",hey Google do I have any alarm set
Participant1,Corpus8,C2,7,"""Hey Google, play Money by LISA from Spotify.""",hey Google Play money by 45
Participant1,Corpus8,C2,8,"""Hey Google, skip to the next chapter.""",hey Google skip to the next stop.
Participant1,Corpus8,C2,9,"""Hey Google, are there any Italian restaurants around here?""",Hey Google are there any Italian restaurant around here
Participant1,Corpus8,C2,10,"""Hey Google, play some hip hop.""",hey Google play some hip hop
Participant1,Corpus8,C2,11,"""Hey Google, play some music.""",hey Google play some music
Participant1,Corpus8,C2,12,"""Hey Google, turn on all the switches.""",hey Google turn on all the 3 set
Participant1,Corpus8,C2,13,"""Hey Google, what's the weather like today?""",hey Google what's the weather like today
Participant1,Corpus8,C2,14,"""Hey Google, Bluetooth pairing.""",hey Google Bluetooth pairing
Participant1,Corpus8,C2,15,"""Hey Google, set the kitchen lights to 50% (Fifthy-Percent).""",hey Google set the kitchen light to 15%
Participant1,Corpus8,C2,16,"""Hey Google, how much time is left on this chapter?""",OK Google how much time is left on this circus
Participant1,Corpus8,C2,17,"""Hey Google, help.""",hey Google help
Participant1,Corpus8,C2,18,"""Hey Google, broadcast 'dinner is ready'.""",hey Google back.
Participant1,Corpus8,C2,19,"""Hey Google, cancel the alarm for 7.15 (Seven-Point-fifth-teen).""",Hey Google and set the alarm for 35 15
Participant1,Corpus8,C2,20,"""Hey Google, add apples to my shopping list.""",hey Google add apples to my shopping list
Participant2,Corpus1,B1,1,"""Hey Google, read a bedtime story.""",hey Google read a bedtime story
Participant2,Corpus1,B1,2,"""Hey Google, did the Liverpool win yesterday?""",hello Google
Participant2,Corpus1,B1,3,"""Hey Google, redi-al.""",Ok Google redial
Participant2,Corpus1,B1,4,"""Hey Google, call the nearest coffee shop.""",OK Google call the copy shop
Participant2,Corpus1,B1,5,"""Hey Google, stop the music.""",hey Google stop the music
Participant2,Corpus1,B1,6,"""Hey Google, broadcast 'wake everybody up'.""",hey Google broadcast work everybody app
Participant2,Corpus1,B1,7,"""Hey Google, dim the living room lights.""",hi Google
Participant2,Corpus1,B1,8,"""Hey Google, broadcast 'dinner is ready'.""",all Google products
Participant2,Corpus1,B1,9,"""Hey Google, turn on the Bedroom Light.""",hey Google turn on bedroom light
Participant2,Corpus1,B1,10,"""Hey Google, broadcast 'time to leave for school'.""",a Google broadcast
Participant2,Corpus1,B1,11,"""Hey Google, stop.""",hi Google.
Participant2,Corpus1,B1,12,"""Hey Google, play music on all the downstairs speakers.""",Hello Google play music
Participant2,Corpus1,B1,13,"""Hey Google, play some hip hop.""",hello Google
Participant2,Corpus1,B1,14,"""Hey Google, snooze the alarm.""",hello Google
Participant2,Corpus1,B1,15,"""Hey Google, what does an elephant sound like?""",hello Google
Participant2,Corpus1,B1,16,"""Hey Google, remember that I left the spare keys in the kitchen cupboard.""","hey Google remember that I left a spare key in the kitchen, port"
Participant2,Corpus1,B1,17,"""Hey Google, play Batman on TV.""",a bun Bo
Participant2,Corpus1,B1,18,"""Hey Google, what is the French word for grapefruit?""",hello Google what is the font word for Kirkwood
Participant2,Corpus1,B1,19,"""Hey Google, help.""",a Google hub
Participant2,Corpus1,B1,20,"""Hey Google, what are my reminders for this week?""",hey Google what are my reminders for the day
Participant2,Corpus2,A1,1,"""Hey Google, what does an elephant sound like?""",Hey Google what does an elephant sound like
Participant2,Corpus2,A1,2,"""Hey Google, remind me at 8am tomorrow to take my lunch in to work.""",Hey Google remind me at 8 a.m. tomorrow to take my lunch into work
Participant2,Corpus2,A1,3,"""Hey Google, play some music from Spotify.""",hey Google play some music from Spotify
Participant2,Corpus2,A1,4,"""Hey Google, play Money by LISA from Spotify.""",hey Google Play money by Lisa from Spotify
Participant2,Corpus2,A1,5,"""Hey Google, flip a coin.""",hey Google flip a coin
Participant2,Corpus2,A1,6,"""Hey Google, read Women and Power.""",hey Google read women and Power
Participant2,Corpus2,A1,7,"""Hey Google, move my music to the bedroom""",hey Google move my music to the back room
Participant2,Corpus2,A1,8,"""Hey Google, read a bedtime story.""",hey Google read a bedtime story
Participant2,Corpus2,A1,9,"""Hey Google, Open Spotify.""",hey Google open Spotify
Participant2,Corpus2,A1,10,"""Hey Google, raise the temperature three degrees.""",hey Google raise the temperature 3 degrees
Participant2,Corpus2,A1,11,"""Hey Google, hang up.""",hey Google hang up
Participant2,Corpus2,A1,12,"""Hey Google, broadcast 'time to leave for school'.""",Hey Google broadcast time to leave for school
Participant2,Corpus2,A1,13,"""Hey Google, brighten the office lamp.""",hey Google brighten the office line
Participant2,Corpus2,A1,14,"""Hey Google, what is today's headlines?""",hey Google what's today's headlines
Participant2,Corpus2,A1,15,"""Hey Google, turn on the Bedroom Light.""",hey Google where did I put the spare key
Participant2,Corpus2,A1,16,"""Hey Google, where did I put the spare keys?""",hey Google where did I put in Spanish keys
Participant2,Corpus2,A1,17,"""Hey Google, redial.""",hey Google redial
Participant2,Corpus2,A1,18,"""Hey Google, are there any Italian restaurants around here?""",hey Google are there any Italian restaurants around here
Participant2,Corpus2,A1,19,"""Hey Google, call my phone.""",hey Google call my phone
Participant2,Corpus2,A1,20,"""Hey Google, do I have anything scheduled for Friday?""",hey Google do I have anything scheduled for Friday
Participant2,Corpus3,C1,1,"""Hey Google, set the thermostat to 20 (Twenty) degrees.""",Hey Google set the thermostat to 20 degrees
Participant2,Corpus3,C1,2,"""Hey Google, broadcast 'dinner is ready'.""",hey Google broadcast dinner is ready
Participant2,Corpus3,C1,3,"""Hey Google, set an alarm for 7.15am (seven-point-fifth-teen-A.M.) tomorrow morning.""",hey Google set an alarm for 7:15 a.m. tomorrow morning
Participant2,Corpus3,C1,4,"""Hey Google, delete my reminder to pick up my dry cleaning.""",hey Google delete my reminder to pick up my dry cleaning
Participant2,Corpus3,C1,5,"""Hey Google, skip to the next chapter.""",hey Google skip to the next chapter
Participant2,Corpus3,C1,6,"""Hey Google, did the Liverpool win yesterday?""",hey Google did the Liverpool win yesterday
Participant2,Corpus3,C1,7,"""Hey Google, when is it going to rain?""",hey Google when is it going to rain
Participant2,Corpus3,C1,8,"""Hey Google, sing a song.""",hey Google sing a song
Participant2,Corpus3,C1,9,"""Hey Google, are there any Italian restaurants around here?""",Hey Google are there any Italian restaurants around here
Participant2,Corpus3,C1,10,"""Hey Google, start the school day""",hey Google start at 4 today
Participant2,Corpus3,C1,11,"""Hey Google, hang up.""",hey Google hang up
Participant2,Corpus3,C1,12,"""Hey Google, help.""",Hey Google help
Participant2,Corpus3,C1,13,"""Hey Google, broadcast 'wake everybody up'.""",hey Google broadcast wake everybody up
Participant2,Corpus3,C1,14,"""Hey Google, How do you solve this problem?""",hey Google how do you solve this problem
Participant2,Corpus3,C1,15,"""Hey Google, raise the temperature three degrees.""",hey Google raise the temperature 3 degrees
Participant2,Corpus3,C1,16,"""Hey Google, stop the music.""",hey Google stop the music
Participant2,Corpus3,C1,17,"""Hey Google, read a bedtime story.""",hey Google read a bedtime story
Participant2,Corpus3,C1,18,"""Hey Google, add apples to my shopping list.""",hey Google add apples to my shopping list
Participant2,Corpus3,C1,19,"""Hey Google, what does an elephant sound like?""",hey Google what does an elephant sound like
Participant2,Corpus3,C1,20,"""Hey Google, broadcast 'the football is about to start.""",Hey Google broadcast the football is about to start
Participant2,Corpus4,D1,1,"""Hey Google, stop the music.""",hey Google stop the music
Participant2,Corpus4,D1,2,"""Hey Google, how many calories are in a Banana?""",Google how many calories are in a banana
Participant2,Corpus4,D1,3,"""Hey Google, play some music.""",hey Google play some music
Participant2,Corpus4,D1,4,"""Hey Google, flip a coin.""",hey Google flip a coin
Participant2,Corpus4,D1,5,"""Hey Google, what are my reminders for this week?""",hey Google what are my reminders for this week
Participant2,Corpus4,D1,6,"""Hey Google, what's the temperature right now?""",hey Google what's the temperature right now
Participant2,Corpus4,D1,7,"""Hey Google, show me the backdoor camera.""",hey Google show me the back door car
Participant2,Corpus4,D1,8,"""Hey Google, set alarm for 8 AM tomorrow.""",OK Google set alarm for 8 a.m. tomorrow
Participant2,Corpus4,D1,9,"""Hey Google, when is it going to rain?""",hello Google
Participant2,Corpus4,D1,10,"""Hey Google, turn the living room lights to blue""",-
Participant2,Corpus4,D1,11,"""Hey Google, snooze the alarm.""",-
Participant2,Corpus4,D1,12,"""Hey Google, broadcast 'time to leave for school'.""",-
Participant2,Corpus4,D1,13,"""Hey Google, stop.""",Hey Google stop
Participant2,Corpus4,D1,14,"""Hey Google, remind me at 8am tomorrow to take my lunch in to work.""",hey Google remind me at 8 a.m. tomorrow to take my lunch break
Participant2,Corpus4,D1,15,"""Hey Google, play some music from Spotify.""",hey Google play some music on Spotify
Participant2,Corpus4,D1,16,"""Hey Google, add apples to my shopping list.""",hey Google go to my shopping list
Participant2,Corpus4,D1,17,"""Hey Google, read Women and Power.""",a Goomba
Participant2,Corpus4,D1,18,"""Hey Google, when is Walmart open until?""",go Google Walmart open until
Participant2,Corpus4,D1,19,"""Hey Google, turn up the sound.""",hey Google turn off the phone
Participant2,Corpus4,D1,20,"""Hey Google, cancel the alarm for 7.15 (Seven-Point-fifth-teen).""",hello Google call Cody line for 7.15
Participant2,Corpus5,A2,1,"""Hey Google, set an alarm for 7.15am (seven-point-fifth-teen-A.M.) tomorrow morning.""",Hey Google set an alarm for seven 4:15 tomorrow morning
Participant2,Corpus5,A2,2,"""Hey Google, broadcast 'the football is about to start.""",hey Google broadcast
Participant2,Corpus5,A2,3,"""Hey Google, flip a coin.""",hey Google flip a coin
Participant2,Corpus5,A2,4,"""Hey Google, spell artificial intelligence.""",hey Google cell artificial intelligence
Participant2,Corpus5,A2,5,"""Hey Google, how do you make ketchup?""",hey Google how do you make ketchup
Participant2,Corpus5,A2,6,"""Hey Google, play some music from Spotify.""",hey Google play some music from Spotify
Participant2,Corpus5,A2,7,"""Hey Google, what are my reminders for this week?""",hey Google what are my reminders for this week
Participant2,Corpus5,A2,8,"""Hey Google, stop the music in 15 (fifth-teen) minutes.""",hey Google stop the music in 15 minutes
Participant2,Corpus5,A2,9,"""Hey Google, brighten the office lamp.""",hey Google brighten the office lamp
Participant2,Corpus5,A2,10,"""Hey Google, what does an elephant sound like?""",hey Google what does an elephant sound like
Participant2,Corpus5,A2,11,"""Hey Google, lock the front door.""",Hey Google lock the front door
Participant2,Corpus5,A2,12,"""Hey Google, read Women and Power.""",Hey Google read me the next hour
Participant2,Corpus5,A2,13,"""Hey Google, turn the living room lights to blue""",hey Google turn the living room lights to Blue
Participant2,Corpus5,A2,14,"""Hey Google, call my phone.""",hey Google call my phone
Participant2,Corpus5,A2,15,"""Hey Google, set the thermostat to 20 (Twenty) degrees.""",hey Google set the thermostat to 20 degrees
Participant2,Corpus5,A2,16,"""Hey Google, play my Evening Jazz playlist.""",hey Google play my evening Jazz playlist
Participant2,Corpus5,A2,17,"""Hey Google, did the Liverpool win yesterday?""",hey Google did the Liverpool win yesterday
Participant2,Corpus5,A2,18,"""Hey Google, sing a song.""",hey Google sing a song
Participant2,Corpus5,A2,19,"""Hey Google, call the nearest coffee shop.""",Hey Google call the nearest coffee shop
Participant2,Corpus5,A2,20,"""Hey Google, pause the music.""",hey Google pause the music
Participant2,Corpus6,B2,1,"""Hey Google, open the blinds.""",hi Google
Participant2,Corpus6,B2,2,"""Hey Google, play some music from Spotify.""",hey Google play Spotify
Participant2,Corpus6,B2,3,"""Hey Google, add apples to my shopping list.""",Google add apples to my shopping list
Participant2,Corpus6,B2,4,"""Hey Google, what does my day look like?""",toggle do I look like
Participant2,Corpus6,B2,5,"""Hey Google, cancel the alarm for 7.15 (Seven-Point-fifth-teen).""",a Google
Participant2,Corpus6,B2,6,"""Hey Google, where is my first event tomorrow?""",hello Google where is my first event tomorrow
Participant2,Corpus6,B2,7,"""Hey Google, play Money by LISA from Spotify.""",a Google home
Participant2,Corpus6,B2,8,"""Hey Google, set a timer for 10 (Ten) minutes.""",a Google set a timer for 10 minutes
Participant2,Corpus6,B2,9,"""Hey Google, call the nearest coffee shop.""","hello Google, can I have a shop"
Participant2,Corpus6,B2,10,"""Hey Google, set an alarm for 7.15am (seven-point-fifth-teen-A.M.) tomorrow morning.""",hello Google set an alarm for 7:15 a.m. tomorrow morning
Participant2,Corpus6,B2,11,"""Hey Google, set alarm for 8 AM tomorrow.""",a Google set alarm for tomorrow morning tomorrow
Participant2,Corpus6,B2,12,"""Hey Google, stop the music.""",hey Google stop the music
Participant2,Corpus6,B2,13,"""Hey Google, what are my reminders for this week?""",Google what are my reminders
Participant2,Corpus6,B2,14,"""Hey Google, snooze the alarm.""",a moonbow
Participant2,Corpus6,B2,15,"""Hey Google, what is the time?""",hello Google what is the time
Participant2,Corpus6,B2,16,"""Hey Google, pause the music.""",hi Google
Participant2,Corpus6,B2,17,"""Hey Google, call My mom.""",hello Google call my mom
Participant2,Corpus6,B2,18,"""Hey Google, what is the traffic like on the way to work?""",oh Google what is the traffic like on the way to work
Participant2,Corpus6,B2,19,"""Hey Google, play my Evening Jazz playlist.""",a Google
Participant2,Corpus6,B2,20,"""Hey Google, is my phone connected over Bluetooth?""",hey Google Bluetooth
Participant2,Corpus7,D2,1,"""Hey Google, play some hip hop.""",hey Google play some hip hop
Participant2,Corpus7,D2,2,"""Hey Google, skip this track.""",hey Google
Participant2,Corpus7,D2,3,"""Hey Google, turn on the Bedroom Light.""",hey Google turn on the bedroom light
Participant2,Corpus7,D2,4,"""Hey Google, read Women and Power.""",a Google group
Participant2,Corpus7,D2,5,"""Hey Google, call the nearest coffee shop.""",hey Google call the nearest coffee shop
